SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2015
40,3,6,1,0,Alabama,Alabama,4858979
50,3,6,1,1,Alabama,Autauga County,55347
50,3,6,1,3,Alabama,Baldwin County,203709
50,3,6,1,5,Alabama,Barbour County,26489
50,3,6,1,7,Alabama,Bibb County,22583
50,3,6,1,9,Alabama,Blount County,57673
50,3,6,1,11,Alabama,Bullock County,10696
50,3,6,1,13,Alabama,Butler County,20154
50,3,6,1,15,Alabama,Calhoun County,115620
50,3,6,1,17,Alabama,Chambers County,34123
50,3,6,1,19,Alabama,Cherokee County,25859
50,3,6,1,21,Alabama,Chilton County,43943
50,3,6,1,23,Alabama,Choctaw County,13170
50,3,6,1,25,Alabama,Clarke County,24675
50,3,6,1,27,Alabama,Clay County,13555
50,3,6,1,29,Alabama,Cleburne County,15018
50,3,6,1,31,Alabama,Coffee County,51211
50,3,6,1,33,Alabama,Colbert County,54354
50,3,6,1,35,Alabama,Conecuh County,12672
50,3,6,1,37,Alabama,Coosa County,10724
50,3,6,1,39,Alabama,Covington County,37835
50,3,6,1,41,Alabama,Crenshaw County,13963
50,3,6,1,43,Alabama,Cullman County,82005
50,3,6,1,45,Alabama,Dale County,49565
50,3,6,1,47,Alabama,Dallas County,41131
50,3,6,1,49,Alabama,DeKalb County,71130
50,3,6,1,51,Alabama,Elmore County,81468
50,3,6,1,53,Alabama,Escambia County,37789
50,3,6,1,55,Alabama,Etowah County,103057
50,3,6,1,57,Alabama,Fayette County,16759
50,3,6,1,59,Alabama,Franklin County,31696
50,3,6,1,61,Alabama,Geneva County,26777
50,3,6,1,63,Alabama,Greene County,8479
50,3,6,1,65,Alabama,Hale County,15068
50,3,6,1,67,Alabama,Henry County,17221
50,3,6,1,69,Alabama,Houston County,104173
50,3,6,1,71,Alabama,Jackson County,52419
50,3,6,1,73,Alabama,Jefferson County,660367
50,3,6,1,75,Alabama,Lamar County,13886
50,3,6,1,77,Alabama,Lauderdale County,92596
50,3,6,1,79,Alabama,Lawrence County,33115
50,3,6,1,81,Alabama,Lee County,156993
50,3,6,1,83,Alabama,Limestone County,91663
50,3,6,1,85,Alabama,Lowndes County,10458
50,3,6,1,87,Alabama,Macon County,19105
50,3,6,1,89,Alabama,Madison County,353089
50,3,6,1,91,Alabama,Marengo County,20028
50,3,6,1,93,Alabama,Marion County,30168
50,3,6,1,95,Alabama,Marshall County,94725
50,3,6,1,97,Alabama,Mobile County,415395
50,3,6,1,99,Alabama,Monroe County,21673
50,3,6,1,101,Alabama,Montgomery County,226519
50,3,6,1,103,Alabama,Morgan County,119565
50,3,6,1,105,Alabama,Perry County,9652
50,3,6,1,107,Alabama,Pickens County,20864
50,3,6,1,109,Alabama,Pike County,33046
50,3,6,1,111,Alabama,Randolph County,22696
50,3,6,1,113,Alabama,Russell County,59660
50,3,6,1,115,Alabama,St. Clair County,87074
50,3,6,1,117,Alabama,Shelby County,208713
50,3,6,1,119,Alabama,Sumter County,13103
50,3,6,1,121,Alabama,Talladega County,80862
50,3,6,1,123,Alabama,Tallapoosa County,40844
50,3,6,1,125,Alabama,Tuscaloosa County,203976
50,3,6,1,127,Alabama,Walker County,65294
50,3,6,1,129,Alabama,Washington County,16804
50,3,6,1,131,Alabama,Wilcox County,11059
50,3,6,1,133,Alabama,Winston County,23877
40,4,9,2,0,Alaska,Alaska,738432
50,4,9,2,13,Alaska,Aleutians East Borough,3341
50,4,9,2,16,Alaska,Aleutians West Census Area,5702
50,4,9,2,20,Alaska,Anchorage Municipality,298695
50,4,9,2,50,Alaska,Bethel Census Area,17946
50,4,9,2,60,Alaska,Bristol Bay Borough,892
50,4,9,2,68,Alaska,Denali Borough,1919
50,4,9,2,70,Alaska,Dillingham Census Area,4997
50,4,9,2,90,Alaska,Fairbanks North Star Borough,99631
50,4,9,2,100,Alaska,Haines Borough,2534
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2133
50,4,9,2,110,Alaska,Juneau City and Borough,32756
50,4,9,2,122,Alaska,Kenai Peninsula Borough,58059
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13709
50,4,9,2,150,Alaska,Kodiak Island Borough,13889
50,4,9,2,158,Alaska,Kusilvak Census Area,8119
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1563
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,101095
50,4,9,2,180,Alaska,Nome Census Area,9846
50,4,9,2,185,Alaska,North Slope Borough,9687
50,4,9,2,188,Alaska,Northwest Arctic Borough,7752
50,4,9,2,195,Alaska,Petersburg Borough,3177
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,6341
50,4,9,2,220,Alaska,Sitka City and Borough,8863
50,4,9,2,230,Alaska,Skagway Municipality,1057
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6839
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9362
50,4,9,2,275,Alaska,Wrangell City and Borough,2382
50,4,9,2,282,Alaska,Yakutat City and Borough,613
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5533
40,4,8,4,0,Arizona,Arizona,6828065
50,4,8,4,1,Arizona,Apache County,71474
50,4,8,4,3,Arizona,Cochise County,126427
50,4,8,4,5,Arizona,Coconino County,139097
50,4,8,4,7,Arizona,Gila County,53159
50,4,8,4,9,Arizona,Graham County,37666
50,4,8,4,11,Arizona,Greenlee County,9529
50,4,8,4,12,Arizona,La Paz County,20152
50,4,8,4,13,Arizona,Maricopa County,4167947
50,4,8,4,15,Arizona,Mohave County,204737
50,4,8,4,17,Arizona,Navajo County,108277
50,4,8,4,19,Arizona,Pima County,1010025
50,4,8,4,21,Arizona,Pinal County,406584
50,4,8,4,23,Arizona,Santa Cruz County,46461
50,4,8,4,25,Arizona,Yavapai County,222255
50,4,8,4,27,Arizona,Yuma County,204275
40,3,7,5,0,Arkansas,Arkansas,2978204
50,3,7,5,1,Arkansas,Arkansas County,18433
50,3,7,5,3,Arkansas,Ashley County,20838
50,3,7,5,5,Arkansas,Baxter County,41053
50,3,7,5,7,Arkansas,Benton County,249672
